participantid_in_session,participantcode,participantlabel,participant_is_bot,participant_index_in_pages,participant_max_page_index,participant_current_app_name,participant_current_page_name,participanttime_started_utc,participantvisited,participantmturk_worker_id,participantmturk_assignment_id,participantpayoff,participantprolific_id,sessioncode,sessionlabel,sessionmturk_hitid,sessionmturk_hitgroupid,sessioncomment,sessionis_demo,sessionconfigreal_world_currency,sessionconfigname,sessionconfigparticipation_fee,pre1playerid_in_group,pre1playerrole,pre1playerpayoff,pre1playerconsent,pre1playerattention_check_num,pre1playerattention_check_num2,pre1playerattention_check_num3,pre1playerattention_check,pre1playerattention_check2,pre1playerattention_check3,pre1groupid_in_subsession,pre1subsessionround_number,main1playerid_in_group,main1playerrole,main1playerpayoff,main1playerstated_amount,main1playerthreshold_integer,main1playerbriefing_correct_amou,main1playerbriefing_1,main1playerbriefing_2,main1playerbriefing_3,main1playerbriefing_4,main1playerbriefing_5,main1playerbriefing_6,main1playerbriefing_7,main1playerbriefing_8,main1playerbriefing_9,main1playerbriefing_10,main1playerbriefing_11,main1playerbriefing_12,main1playerbriefing_13,main1playerbriefing_14,main1playerbriefing_15,main1playermisreport_reason,main1playeraccept_next_experimen,main1playerprefer,main1playerpainter,main1groupid_in_subsession,main1subsessionround_number,end1playerid_in_group,end1playerrole,end1playerpayoff,end1groupid_in_subsession,end1subsessionround_number,end21playerid_in_group,end21playerrole,end21playerpayoff,end21groupid_in_subsession,end21subsessionround_number,session
1,r9ov3uyd,5ea55df76205ad53a793bc01,0,19,20,end,End,2025-12-18 17:48:05.291838,1,,,2,5ea55df76205ad53a793bc01,jax0jask,,,,,0,1,your_experiment,0,2,,0,1,47,32,53,47,,,1,1,2,,2,10,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Right,,1,1,2,,0,1,1,2,,0,1,1,1000 sample
2,98ankqxv,5f50159de247cd17cf2ff86a,0,19,20,end,End,2025-12-18 17:53:39.060991,1,,,3,5f50159de247cd17cf2ff86a,jax0jask,,,,,0,1,your_experiment,0,13,,0,1,37,0,82,37,,,1,1,13,,3,12,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Left,,1,1,13,,0,1,1,13,,0,1,1,1000 sample
3,kjrfi41f,63af557b3d4f219c3226b7d6,0,19,20,end,End,2025-12-18 17:53:54.548334,1,,,2,63af557b3d4f219c3226b7d6,jax0jask,,,,,0,1,your_experiment,0,19,,0,1,66,40,61,66,,,1,1,19,,2,10,8,6,2,2,1,1,3,1,3,4,6,4,7,8,8,8,8,,,Right,,1,1,19,,0,1,1,19,,0,1,1,1000 sample
4,lnw571jc,5d67b1be141a00001627f8bf,0,19,20,end,End,2025-12-18 17:53:56.420871,1,,,3,5d67b1be141a00001627f8bf,jax0jask,,,,,0,1,your_experiment,0,20,,0,1,35,26,92,35,,,1,1,20,,3,12,8,5,2,2,2,1,3,1,3,2,7,2,5,3,4,4,8,,,Right,,1,1,20,,0,1,1,20,,0,1,1,1000 sample
5,m3vewgjv,66cc6eb364154a51d4d44eb1,0,19,20,end,End,2025-12-18 17:53:57.558643,1,,,1.5,66cc6eb364154a51d4d44eb1,jax0jask,,,,,0,1,your_experiment,0,21,,0,1,0,99,35,0,,,1,1,21,,1.5,9,8,5,3,1,3,1,3,3,3,5,8,4,1,1,8,8,8,,,Right,,1,1,21,,0,1,1,21,,0,1,1,1000 sample
6,7xtulhkb,62f387004495cb4ed30d1d21,0,19,20,end,End,2025-12-18 17:54:07.003799,1,,,1.5,62f387004495cb4ed30d1d21,jax0jask,,,,,0,1,your_experiment,0,26,,0,1,64,12,36,64,,,1,1,26,,1.5,9,8,4,2,4,2,1,3,3,7,7,2,3,6,2,4,5,4,,,Right,,1,1,26,,0,1,1,26,,0,1,1,1000 sample
7,q551xt3i,67d0c546e34a839a2c0d67a0,0,19,20,end,End,2025-12-18 17:54:12.791135,1,,,2.5,67d0c546e34a839a2c0d67a0,jax0jask,,,,,0,1,your_experiment,0,33,,0,1,5,46,77,5,,,1,1,33,,2.5,11,8,7,2,3,3,1,3,3,3,2,6,7,8,8,8,8,8,,,Right,,1,1,33,,0,1,1,33,,0,1,1,1000 sample
8,3bv9xbz1,5da486f989f3800015f5a4d3,0,19,20,end,End,2025-12-18 17:54:24.894566,1,,,3,5da486f989f3800015f5a4d3,jax0jask,,,,,0,1,your_experiment,0,37,,0,1,91,84,17,91,,,1,1,37,,3,12,8,8,2,3,3,1,3,5,3,4,6,7,6,3,4,5,6,,,Left,,1,1,37,,0,1,1,37,,0,1,1,1000 sample
9,l4x9ac3n,572685c4f2a83f000d6aecee,0,19,20,end,End,2025-12-18 17:54:43.859044,1,,,3,572685c4f2a83f000d6aecee,jax0jask,,,,,0,1,your_experiment,0,47,,0,1,21,74,87,21,,,1,1,47,,3,12,8,4,2,1,3,1,4,8,8,8,8,8,8,8,8,8,8,,,Right,,1,1,47,,0,1,1,47,,0,1,1,1000 sample
10,fma59e2d,670c17df0a4788241bf1835c,0,19,20,end,End,2025-12-18 17:54:44.727407,1,,,1.5,670c17df0a4788241bf1835c,jax0jask,,,,,0,1,your_experiment,0,49,,0,1,10,69,38,10,,,1,1,49,,1.5,9,8,6,2,1,3,1,3,3,3,8,8,8,8,8,8,8,8,,,Right,,1,1,49,,0,1,1,49,,0,1,1,1000 sample
11,ltjjik3r,676e6f5eb2e5690f74382e58,0,19,20,end,End,2025-12-18 17:54:51.490626,1,,,3,676e6f5eb2e5690f74382e58,jax0jask,,,,,0,1,your_experiment,0,52,,0,1,29,92,10,29,,,1,1,52,,3,15,8,9,2,2,3,1,3,3,3,2,6,7,6,1,6,1,4,,,Right,,1,1,52,,0,1,1,52,,0,1,1,1000 sample
12,pi7i4wvr,67334911eb1de6dd02fc126a,0,19,20,end,End,2025-12-18 17:55:00.113969,1,,,3,67334911eb1de6dd02fc126a,jax0jask,,,,,0,1,your_experiment,0,58,,0,1,46,91,74,46,,,1,1,58,,3,15,8,7,2,3,3,1,3,5,3,4,6,3,3,2,2,3,3,,,Right,,1,1,58,,0,1,1,58,,0,1,1,1000 sample
13,zv83dwsu,5bf54dd783653500016776ec,0,19,20,end,End,2025-12-18 17:55:01.637272,1,,,2.5,5bf54dd783653500016776ec,jax0jask,,,,,0,1,your_experiment,0,59,,0,1,58,79,17,58,,,1,1,59,,2.5,11,8,8,2,1,3,1,3,3,3,4,6,8,8,8,8,8,8,,,Left,,1,1,59,,0,1,1,59,,0,1,1,1000 sample
